Name,Measurements,Date of Birth,Hair color,Height,Weight
Bailey Bam,,6/21/1989,,,
Bailey Bliss,,,,,
Bailey Blue,,8/10/1989,,,
Bailey Bonds,,,,5-4,121
Bailey Bradshaw,,1/1/1991,,5-7,106
Bailey Brooke,,2/9/1996,,,
Bailey Brooks,36A-25-35,1/27/1986,Blonde,5-9,121
Bailey Lane,,2/18/1988,,,
Bailey Martin,,,,,
Bailey Monroe,,,,,
Bailey Montaine,36DD-24-34,2/10/1972,,5-4,117
Bailey Odare,,5/29/1974,,,
Bailey Ray,,10/30/1992,,,
Bailey Rossi,,,,,
Bailey Ryder,,6/17/1992,,,
Bailey Santanna,,,,,
Bailey Sky,,,,,
Bali High,,,,,
Bam Boo,,5/24/1974,,,
Bambi Black,32A-24-34,9/28/1998,,5-7,106
Bambi Bliss,36D-,4/16/1983,Black,5-6,132
Bambi Brown,,,,,
Bambi Diamond,,,,,
Bambi Love,,,,5-9,
Bambi Wolfe,,6/22/1994,,,
Bambi Woods,No data,No data,Blonde,No data,No data
Bambi,,9/11/1984,,,
Bambie Dolce,34B-25-35,1/12/1981,Brown,5-8,114
Bamboo,38C,5/24/1974,Black,5-1,92
Barbara Angel,43G-34-42,3/5/1990,,5-2,154
Barbara Bella,,,,,
Barbara Dare,34C-23-34,2/27/1963,Brown,5-2,No data
Barbara Doll,,5/7/1972,,,
Barbara Molat,,,,,
Barbara Moore,,,,,
Barbara Rose,,,,,
Barbara Summer,36B-25-35,8/20/1977,Blonde,5-6,125
Barbara Sweet,,8/23/1991,,,
Barbara Vamp,32B-23-34,1/25/1982,,5-2,115
Barbara Vee,,,,,
Barbara Voice,36B-25-34,8/5/1981,Brown/Blonde,5-4,No data
Barbi Banks,,,,,
Barbi Gold,,,,,
Barbi Korvette,,,,,
Barbie Addison,,,,,
Barbie B,,12/17/1991,,,
Barbie Baja,,5/7/1978,,,
Barbie Banx,,,,,
Barbie Belle,34C-23-34,11/2/1979,Blonde,5-2,110
Barbie Bennett,,,,,
Barbie Black,,9/18/1981,,,
Barbie Blazer,,,,,
Barbie Cummings,34D-26-36,1/15/1986,Sandy Blonde,5-7,129
Barbie Dee,,,,,
Barbie Doll,36C,5/8/1968,Blonde,No data,No data
Barbie Duran,,,,,
Barbie Express,,,,5-2,
Barbie Gold,,11/30/1980,,,
Barbie Griffin,,,,,
Barbie Kelley,34G-33-39,9/30/1974,,5-11,154
Barbie Lane,,,,,
Barbie Love,,9/4/1987,,,
Barbie Murdock,,,,,
Barbie Page,34B-24-34,4/9/1959,,5-4,
Barbie Paige,,,,,
Barbie Pink,,11/3/1984,,5-11,
Barbie Rhea,,1/16/1983,,,
Barbie Stoker,,,,,
Barbie Styles,,,,,
Barbii Bucxxx,30B-22-30,3/10/1984,Blonde,5-2,94
Barby Dare,,,,,
Barett Moore,34D-24-34,5/31/1978,Brown/Blonde,5-6,127
Barra Brass,,4/30/1984,,,
Barrett Moore,,,,,
Barry David,,3/12/1953,,,
Barry Wood,,,,,
Basanti,,,,,
Baybee Cakes,,2/22/1977,,,
Baylee Lee,,3/23/1985,,,
Bb Face,,,,,
Bb Gun,,,,,
Bea Flora,,,,,
Bea Stiel,,12/10/1982,,,
Bea Summer,40E-24-35,7/3/1987,,5-4,139
Beata Undine,,6/20/1988,,,
Beatriz Oliveira,,,,,
Beaue Marie,,,,,
Beauty Dior,,5/7/1980,,,
Beauty Supreme,,,,,
Bebe Boobs,,,,5-0,141
Bebe Cooper,40H-29-34,6/2/1982,,5-0,152
Bebe Felony,,12/4/1984,,,
Bebe Mendes,33B-23-34,2/21/1990,,5-9,110
Bebe Minx,,,,,
Becca Ash,,,,,
Becca Bailey,,,,,
Becca Bay,,,,,
Becca Blossoms,,12/18/1973,,,
Becca Brat,,,,,
Becca Bratt,36D-26-36,3/13/1981,Blonde,5-6,110
Becca Diamond,34D-26-31,,,5-6,130
Becca Rose,,,,5-6,126
Beckie Brian,,,,,
Becky Cohen,,,,5-2,108
Becky Gray,,,,,
Becky Holt,32B-24-36,9/15/1987,,5-3,112
Becky Le Sabre,34C-26-36,9/1/1983,Brown,5-9,125
Becky Lesabre,,,,,
Becky Lynn,32A-22-30,,,5-10,121
Becky Savage,,9/25/1958,,,
Becky Stevens,,12/1/1974,,,
Becky Sunshine,42D-24-34,12/12/1971,Blonde,5-6,No data
Bela Bugatti,,,,,
Belicia Avalos,,7/28/1984,,,
Belicia,34B-27-35,7/28/1984,Black,5-7,110
Belinha Baracho,34D-24-35,8/15/1980,,5-11,104
Bella Baby,,6/16/1989,,,
Bella Bang,,,,,
Bella Bangs,,,,,
Bella Banxx,,4/26/1991,,,
Bella Baracho,,,,,
Bella Bellz,,3/26/1985,,,
Bella Bends,,5/1/1989,,,
Bella Beretta,32B-23-30,12/26/1996,,5-0,112
Bella Blaze,,12/13/1985,,,
Bella Blond,,4/7/1977,,,
Bella Blue,,1/1/1989,,,
Bella Fox,,,,,
Bella Foxx,,,,5-9,137
Bella French,34G-24-36,10/11/1987,,5-5,121
Bella Gianna,,,,5-9,
Bella Hally,,,,5-7,
Bella Honey,,5/22/1992,,5-7,106
Bella Kneels,,,,,
Bella Ling,,7/15/1983,,,
Bella Luciano,34C-26-36,8/8/1993,,5-2,130
Bella Lynn,,6/19/1982,,,
Bella Marchelli,34A-24-34,1/1/1991,,,
Bella Maree,,9/17/1984,,,
Bella Marie Wolf,36D,12/6/1981,Brown,5-7,125
Bella Marino,36C-26-36,6/30/1966,,5-6,121
Bella Monet,,,,,
Bella Moretti,,,,,
Bella Nikole Black,34DD-25-34,10/5/1987,,5-11,110
Bella Reese,,7/21/1987,,,
Bella Ricardo,,,,5-1,
Bella Rios,,,,,
Bella Rose,,11/5/1996,,,
Bella Rossi,,,,,
Bella Roxx,,,,,
Bella Ryderr,,,,,
Bella Saint,,,,5-9,99
Bella Sianna,,11/30/1990,,,
Bella Skye,,,,,
Bella South,,,,5-4,123
Bella Star,36B-26-37,No data,Blonde,5-10,123
Bella Starr,,4/8/1983,,,
Bella Storm,38D-30-39,,,5-9,146
Bella Stuart,36B-24-36,,,5-1,117
Bella Thorne,32B-24-35,10/8/1997,,5-5,123
Bella Vendetta,,,,,
Bella Wilde,,,,5-1,121
Bella Young,,,,,
Belladonna,34C-25-34,5/21/1981,Brown/Blonde,5-4,127
Belle Bond,,,,,
Belle Claire,,3/26/1994,,,
Belle D Leon,,,,,
Belle Knox,,6/9/1995,,,
Belle Noire,,6/22/1988,,,
Ben Cameron,,,,,
Ben Fisher,,,,,
Benny Profane,,,,,
Beretta James,,,,,
Bernice,,4/12/1990,,,
Betcee May,,,,,
Bethany Benz,,12/1/1986,,,
Bethany James,,,,,
Bethany Sweet,,,,,
Beti Hana,,,,,
Beti Phellasio,38G-37-42,,,5-11,
Betka Schpitz,,,,,
Bettie Balhaus,,,,,
Bettie Ballhaus,,,,,
Bettina Campbell,,5/25/1974,,,
Bettina Dicapri,,8/25/1992,,,
Bettina Kox,,,,,
Betty Baphomet,,,,,
Betty Blac,,,,,
Betty Blaze,32-24-34,5/30/1969,,5-5,126
Betty Blue,,,,,
Betty Boo,34C-25-32,1/23/1987,,5-9,130
Betty Boobs,38DDD-29-37,,,5-1,126
Betty Butt,,,,,
Betty Dark,,9/13/1980,,,
Betty Howard,,,,,
Betty Love,37C-27-37,6/4/1979,Blonde,No data,No data
Betty O,,8/15/1994,,,
Betty Ray,,,,,
Betty Saint,No data,No data,Brown,No data,No data
Betty Six,34C-24-34,,,,
Betty Spark,,,,,
Betty Stylle,,,,,
Betty Sue,,2/15/1984,,,
Betty Swollocks,,,,,
Bev Cocks,,2/5/1973,,,
Beverly Bliss,,,,,
Beverly Cox,,2/5/1973,,,
Beverly Glen,,,,,
Beverly Hills,,7/11/1986,,,
Beverly Paige,,12/17/1990,,,
Bex Shiner,,4/22/1987,,5-9,130
Bianca Arden,,,,,
Bianca Baez,,,,,
Bianca Bardot,,,,,
Bianca Biaggi,No data,No data,Brown,No data,No data
Bianca Biggs,,,,,
Bianca Breeze,,9/13/1982,,,
Bianca Dagger,,,,,
Bianca De La Fuente,34C-24-35,8/26/1984,,5-2,126
Bianca Golden,34C-24-35,10/5/1988,Blonde,5-5,No data
Bianca Jacobs,,,,,
Bianca Jordan,No data,No data,Brown,No data,No data
Bianca Lopes,,,,,
Bianca Lovely,,2/6/1990,,,
Bianca Mello,35D-24-35,9/11/1985,,5-2,117
Bianca Mendoza,,3/19/1980,,,
Bianca Noble,31C-22-30,,,5-1,108
Bianca Pearl,34B-24-35,9/16/1992,,5-6,115
Bianca Pureheart,34B-23-35,2/7/1983,Blonde,5-5,114
Bianca Resa,,4/8/1981,,,
Bianca Rios,,1/28/1991,,,
Bianca Starr,,,,,
Bianca Stone,,,,,
Bianca Trump,36DD-25-36,11/7/1972,Brown,5-6,No data
Bianca Valentino,,3/22/1986,,,
Bianka Brill,,9/19/1995,,,
Bianka Juice,,,,,
Bibette Blanche,,5/6/1968,,,
Bibi Black,,,,,
Bibi Fox,32B-24-35,1/7/1980,Blonde,5-4,114
Bibi Noel,,1/1/1992,,,
Bibi Taylor,,,,,
Bibian Norai,,,,,
Biff Malibu,,,,,
Big Bertha,,,,,
Big Dame,,,,,
Big Man,,2/25/1975,,,
Big Mike,,7/28/1963,,,
Big Rob,,11/27/1968,,,
Billie Austin,,,,,
Billie Britt,,,,,
Billie Jo,,11/5/1983,,5-5,132
Billie Morrison,,,,,
Billie Rai,34DD-21-29,6/11/1991,,4-8,97
Billie Star,,7/3/1989,,,
Billie West,,,,,
Billy Budd,,,,,
Billy Raise,,,,,
Billy Springfield,,,,,
Billy Wild,,,,,
Binky Bangs,,5/2/1994,,,
Bionca Seven,,,,,
Bionca,34C-25-35,1/22/1965,Brown,5-8,125
Bisexual Britni,,11/5/1982,,,
Black Angelica,,10/25/1987,,,
Black Beauty,,,,,
Black Cat,,9/19/1984,,,
Black Cherry,,,,,
Black China,,,,,
Black Dahlia,,,,,
Black Diamond,36D-27-37,10/31/1983,Black/Brown,5-8,145
Black Panther,32A-24-34,,,5-9,
Black Pearl,,3/12/1953,,,
Black Pepper,,,,,
Black Puma,34B-25-34,3/12/1985,Black,5-6,No data
Black Sonja,,3/28/1988,,,
Black Widow,,12/27/1981,,,
Blair Sanders,,1/18/1962,,,
Blair Segal,34C-22-33,2/3/1979,Brown/Blonde,5-5,107
Blair Summers,,1/29/1996,,,
Blair Williams,36D-29-38,3/28/1994,,5-9,135
Blaire Banks,,1/10/1991,,,
Blake Eden,,,,,
Blake Haze,34B-26-36,1/1/1991,,5-0,130
Blake James,,6/14/1993,,,
Blake Lovely,,,,,
Blake Mitchell,36DD-24-34,12/29/1962,Brown,5-4,125
Blake Riley,,,,,
Blake Rose,,6/20/1984,,,
Blake West,,,,,
Blakely Quinn,,10/23/1993,,5-1,110
Blanca Brooke,,,,,
Blanche Bradburry,,9/15/1988,,,
Blaque Chyna,,,,,
Bliss Dulce,,1/12/1989,,,
Bliss Lei,34C-26-36,5/19/1989,,5-10,106
Blond Aloha,,,,,
Blond Cat,,,,,
Blond Panni,,1/14/1980,,,
Blonde Angel,,,,,
Blondie Anderson,32C-24-34,10/5/1976,,5-10,95
Blondie Fesser,,9/14/1988,,,
Blondie Sandy,,,,,
Blondie Wild,,9/15/1980,,,
Blondy Bunny,,,,,
Blu Diamond,,1/1/1989,,,
Blue Angel,,6/21/1988,,,
Blue Diamond,,1/1/1989,,,
Bob Crane,,,,,
Bob Vosse,,,,,
Bobbi Barrington,34C-25-37,10/20/1982,Blonde,5-7,125
Bobbi Billard,,,,,
Bobbi Blair,36C-25-36,4/3/1981,Brown,5-7,114
Bobbi Bliss,34B-26-33,1/6/1973,Brown,5-6,134
Bobbi Brixton,34B-24-38,1/1/1988,,5-11,121
Bobbi Brown,No data,No data,Black,No data,No data
Bobbi Dean,,7/24/1979,,,
Bobbi Eden,34C-23-34,1/4/1980,Blonde,5-6,121
Bobbi Marie,,,,,
Bobbi Starr,34-27-39,4/4/1983,Brown,5-8,129
Bobbie Barron,,,,,
Bobbie Lennox,,,,,
Bobbie Rae,,,,,
Bobby Hollander,,,,,
Bobby Kilmer,,,,,
Bobby Manila,,,,,
Bobby Rinaldi,,,,,
Bolivia Samsonite,34B-26-34,1/31/1975,Brown,5-6,118
Bom Bom,,8/21/1980,,,
Bonita Butterfly,,,,,
Bonita Saint,34D-22-32,2/27/1974,Blonde,5-6,110
Bonnie Blaze,,,,,
Bonnie Day,,,,,
Bonnie Heart,32B-24-33,1980-??-??,Blonde,5-7,No data
Bonnie Holiday,,9/24/1952,,,
Bonnie Rose,,,,,
Bonnie Rotten,,5/9/1993,,,
Bonnie Shai,,5/19/1993,,,
Bonnie Skye,34B-24-34,8/23/1990,,5-6,110
Bonnie Wood,,,,,
Bonny Bon,,,,,
Bonny Epson,,,,,
Boo Dilicious,34A-29-34,2/8/1984,Black,5-8,114
Booty Licious,,,,,
Boroka Bolls,,9/7/1987,,,
Boroka Borres,,,,,
Brande Roderick,,,,,
Brandi Belle,No data,No data,Brown,No data,No data
Brandi Blunt,,,,,
Brandi Coxxx,,,,,
Brandi Edwards,32DD-23-32,7/23/1980,Brown/Blonde,5-2,99
Brandi Fox,,,,,
Brandi Jaimes,,,,,
Brandi Lace,34-27-34,No data,Blonde,5-3,114
Brandi Love,36C-25-36,No data,Blonde,5-7,No data
Brandi Lyons,34B-24-36,3/26/1979,Red/Dark Brown,5-6,118
Brandi May,34C-22-33,4/23/1986,Red,5-2,99
Brandi Morgan,,,,,
Brandi Sparks,36DD-28-38,9/8/1990,,5-3,190
Brandi Wyide,,,,,
Brandie Moore,40DD-38-56,6/14/1980,,5-4,176
Brandon Jes,,,,,
Brandon Michaels,,,,,
Brandy Alexandre,34C-24-35,7/17/1964,Blonde,5-2,No data
Brandy Bates,32A-23-34,10/31/1982,,5-7,121
Brandy Blair,,6/24/1987,,,
Brandy Canyon,,,,,
Brandy Dallas,,,,,
Brandy Dean,38DD-25-36,6/26/1979,Auburn,5-3,121
Brandy Edwards,,7/23/1980,,,
Brandy Jaymes,,,,5-10,110
Brandy Lee,,6/22/1988,,,
Brandy Nicole,34A-24-36,11/13/1982,Brown,5-4,114
Brandy Ryder,40G-46-36,,,5-7,185
Brandy Scott,,,,,
Brandy Smile,,7/23/1986,,,
Brandy Starz,,,,,
Brandy Talore,36DD-26-36,2/2/1982,Brown,5-2,127
Brandy Wine,,12/18/1968,,,
Bre Blu,,,,,
Bre Bre,,2/7/1987,,,
Brea Bennett,32B-22-32,2/7/1987,Blonde,5-5,103
Brea Lynn,35D-25-36,7/7/1982,Black/Brown,5-3,114
Breann McGregor,,,,,
Breanna Bliss,,,,,
Breanna Fox,,,,,
Breanna Getz,,,,,
Breanna Sparks,,,,,
Breanne Benson,,4/22/1984,,,
Breanne,32C-22-35,No data,Brown,5-4,103
Bree Alexander,,,,,
Bree Barrett,,,,,
Bree Branning,,,,,
Bree Brooks,No data,No data,Blonde,No data,No data
Bree Daniels,34C-24-35,11/18/1991,,5-2,112
Bree Flowers,,,,,
Bree Mitchells,,,,,
Bree Olson,32D-25-35,10/7/1986,Blonde,5-3,110
Breena,34DD-26-34,2/15/1976,Blonde,5-7,134
Brenda Black,,,,,
Brenda Boop,,5/9/1994,,,
Brenda Brachto,,,,5-8,141
Brenda Brown,,1/12/1958,,,
Brenda Fox,,,,,
Brenda James,,9/27/1970,,,
Brenda Logan,34B-24-34,8/6/1978,Black/Blonde,5-8,121
Brenda Moon,34C-27-38,5/27/1986,,5-9,
Brenda Starlix,,,,,
Brenya Rose,,,,,
Brett Rossi,32D-24-33,5/21/1989,,5-5,119
Bri Love,,12/3/1980,,,
Brian Williams,,,,,
Briana Banks,34DD-28-31,5/21/1979,Blonde,5-9,114
Briana Bliss,36C-28-39,1/23/1990,,5-9,
Briana Devil,34C-24-35,1/23/1986,,5-7,110
Brianna Beach,38B-26-34,11/8/1976,Brown,5-7,125
Brianna Bella,,,,,
Brianna Blaze,34C-26-35,10/11/1984,Brown,5-5,118
Brianna Bragg,No data,No data,Brown,5-10,145
Brianna Brooks,,11/12/1986,,,
Brianna Brown,,,,,
Brianna Costello,36FF-30-38,4/24/1983,,4-8,115
Brianna Falcone,,,,5-11,
Brianna Jordan,34F-26-38,12/1/1982,,5-5,141
Brianna Lee,34B-25-32,2/4/1969,,5-1,104
Brianna Love,34A-22-36,3/14/1985,Dirty Blonde,5-3,110
Brianna Morgan,,,,,
Brianna Oshea,,,,,
Brianna Ray,,,,,
Brianna Ryder,,,,,
Brianna St James,,,,,
Brianna Stone,34D-27-32,,,5-7,137
Brianna Tabu,,,,,
Brianna Wildman,34D-24-36,1/30/1968,,5-4,110
Brianne Blessing,,,,,
Bridget Banks,36C-26-36,10/4/1976,,5-4,115
Bridget Bryans,,,,,
Bridget Jolie,36B-26-37,8/7/1986,,5-6,
Bridget Powers,28A-22-32,10/11/1980,Brown,3-7,79
Bridgete Palmer,,1/1/1970,,5-6,121
Bridgett Harrington,,,,,
Bridgett The Midget,,,,,
Bridgette B,,10/15/1983,,,
Bridgette Belle,34B-24-36,9/4/1976,,5-11,121
Bridgette Kerkove,34D-22-34,2/8/1977,Blonde,5-4,107
Bridgette Lee,,9/4/1963,,,
Bridgette Monet,38-26-37,6/28/1959,Brown,5-10,No data
Bridgette Monroe,,3/30/1968,,,
Bridie James,,,,,
Brie Turner,32B-23-33,,,5-6,
Briella Bounce,,,,,
Briella Valentine,,,,,
Brigite Clavier,,,,,
Brigitta Bulgari,35C-24-35,9/29/1982,Blonde,5-8,110
Brigitta Gold,,1/1/1978,,,
Brigitte Fox,,8/6/1987,,,
Brigitte Hunter,No data,7/7/1983,Dark Blonde,No data,No data
Brigitte Lahaie,36-24-36,10/12/1955,Brown/Blonde,5-8,No data
Brigitte Olier,,,,,
Brigitte Stone,,1/15/1979,,,
Brijaye Love,,,,,
Brill Xandra,,,,,
Brit Shields,,,,,
Britney Alexander,,3/9/1983,,,
Britney Amber,36D-24-34,11/10/1986,,5-9,115
Britney B,,1/25/1988,,,
Britney Bangs,,1/1/1970,,,
Britney Beth,,7/23/1991,,,
Britney Brighton,,11/17/1986,,,
Britney Brooks,,12/31/1985,,,
Britney Foster,34D-26-34,1975-??-??,Blonde,5-3,127
Britney James,,,,,
Britney Jay,,8/16/1981,,,
Britney Kane,,,,,
Britney Lixx,,,,,
Britney Luv,,,,,
Britney Madison,34D-,3/22/1984,Blonde,5-5,125
Britney Manson,32D-25-33,9/29/1986,,5-2,121
Britney Markham,,,,,
Britney Phoenix,,,,,
Britney Ray,,,,,
Britney Sanders,36C-27-37,,,5-1,126
Britney Shannon,,2/9/1983,,,
Britney Skye,32D-23-34,11/5/1977,Brown/Blonde,5-5,118
Britney Spring,,9/6/1988,,,
Britney Stevens,36C-25-35,2/24/1985,Brown,5-3,125
Britney Young,,4/22/1991,,,
Britni Blvd,,,,,
Britt Morgan,36C-25-36,8/12/1963,Blonde,5-3,114
Brittaney Starr,,,,,
Brittanie Lane,,,,,
Brittany Andrews,38DD-24-36,8/13/1973,Blonde,5-9,114
Brittany Angel,,6/10/1987,,,
Brittany B,,12/3/1980,,,
Brittany Blaze,,8/1/1971,,,
Brittany Bliss,,1/1/1990,,,
Brittany Blue,34A-24-34,10/12/1982,Brown,5-7,114
Brittany Burke,36D-25-34,12/22/1985,,5-11,115
Brittany Fox,,1/1/1990,,,
Brittany Harper,,,,,
Brittany James,No data,No data,Brown,No data,No data
Brittany Kendall,,,,5-4,
Brittany Lauryn,,2/23/1990,,5-11,135
Brittany Love,40DD-24-36,10/15/1971,Brown,5-2,114
Brittany Lynn,,,,,
Brittany Needa,,,,,
Brittany O'Connell,34D-22-34,12/6/1972,Red,5-4,No data
Brittany O'Neil,52EE-24-34,3/31/1971,Blonde,5-8,114
Brittany Oconnell,,12/6/1972,,,
Brittany Olson,,,,,
Brittany Oneil,,3/31/1971,,,
Brittany Paige,,,,,
Brittany Shae,,7/15/1991,,,
Brittany Star,,,,,
Brittany Stone,,,,,
Brittany Stryker,34D-24-34,10/12/1960,Brown,5-7,121
Brittany Whisper,,1/20/1988,,,
Brittany York,,,,,
Brittany,34A-24-34,10/12/1982,Brown,5-7,114
Brittney Alexander,,3/9/1983,,,
Brittney Angel,,11/10/1986,,,
Brittney Badseed,,,,,
Brittney Banxxx,,10/26/1990,,,
Brittney Bell,,,,,
Brittney Blue,,10/12/1982,,,
Brittney Cruise,,4/26/1991,,,
Brittney M,,8/12/1963,,,
Brittney Miller,,,,,
Brittney Ray,,,,,
Brittney Skye,32D-23-34,11/5/1977,Brown/Blonde,5-5,118
Brittney Snow,,,,,
Brittney Wells,,,,,
Brodi Kennedy,,8/10/1984,,,
Bronze,34D-24-34,12/3/1971,Black,5-8,No data
Brook Ultra,,4/3/1992,,,
Brooke Adams,,7/9/1986,,,
Brooke Alexander,No data,No data,Brown,No data,No data
Brooke April,No data,No data,Brown,No data,No data
Brooke Ashley,34B-24-32,5/5/1973,Black,5-4,114
Brooke Bailey,,,,,
Brooke Ballentyne,36C-24-36,7/13/1982,Brown,5-8,No data
Brooke Banks,,9/28/1983,,,
Brooke Banner,34D-26-34,9/28/1983,Blonde,5-8,121
Brooke Belle,No data,4/29/1982,Blonde,5-5,No data
Brooke Bennett,,,,,
Brooke Blue,,8/8/1985,,5-4,141
Brooke Bound,34C-27-36,,,5-7,126
Brooke Boxwood,,,,,
Brooke Cherry,,,,,
Brooke Daze,,12/6/1979,,5-2,
Brooke Fox,,,,,
Brooke Haven,34C-28-31,11/25/1979,Brown,5-2,118
Brooke Hunter,36D-24-36,3/14/1970,Blonde,5-7,136
Brooke Jameson,,8/16/1984,,,
Brooke Jean,32A-23-34,,,5-4,110
Brooke Lane,34D-23-34,10/8/1969,Blonde,5-8,121
Brooke Logan,,,,,
Brooke Lynn,,5/16/1997,,,
Brooke Milano,No data,No data,Black,5-1,105
Brooke Myers,,1/7/1996,,5-2,130
Brooke Paller,,,,,
Brooke Radell,,,,,
Brooke S,,1/17/1982,,,
Brooke Scott,No data,No data,Brown,5-6,140
Brooke Skye,,,,,
Brooke Stone,,7/9/1981,,,
Brooke Summer,,1/17/1982,,,
Brooke Taylor,,9/28/1983,,,
Brooke Tyler,,2/28/1967,,,
Brooke Van Buuren,,2/19/1992,,,
Brooke Waters,,5/15/1972,,,
Brooke West,,,,,
Brooke Whispers,,,,,
Brooke Wylde,,5/31/1995,,,
Brookie G,,,,,
Brooklyn Bailey,,,,,
Brooklyn Blue,,9/28/1991,,,
Brooklyn Carter,,,,,
Brooklyn Chase,,3/14/1985,,,
Brooklyn Daniels,,,,,
Brooklyn Dayne,36B-24-36,,,5-0,126
Brooklyn Deep,,,,,
Brooklyn Jade,,7/1/1985,,,
Brooklyn Lee,,6/1/1989,,,
Brooklyn Night,36B-24-36,9/13/1986,Brown,5-2,110
Brooklyn Rhodes,34C-23-35,9/9/1975,,5-9,112
Brooklyn Rose,,12/8/1995,,,
Brooklynn Rae,,,,,
Brooklynn,34D-,No data,Blonde,6-1,No data
Brookyln Night,,,,,
Brown Sugar,,,,,
Brownie Girl,,,,,
Bruna Barcelly,,,,,
Bruna Ramos,,,,,
Bruna Vieira,,9/9/1990,,,
Bryce Taylor,,,,,
Brylee Remington,,,,5-8,106
Bryn Blayne,34C-27-39,4/26/1986,,5-11,135
Brynn Brooks,,2/7/1986,,,
Brynn Hunter,34D-24-36,8/19/1968,,5-9,121
Brynn Jay,,,,,
Brynn Tyler,,11/14/1987,,,
Bud Lee,,,,,
Buffy Davis,42D-26-36,11/3/1966,Blonde,5-3,138
Buffy Sinclair,,,,,
Buffy Sinclaire,34B-26-34,10/14/1981,Brown,5-7,112
Buffy Tyler,,,,,
Buffy Van Norton,32DD-23-34,5/24/1979,Blonde,5-9,110
Bunko Kanazawa,,,,,
Bunny Bleu,50F-22-33,6/1/1964,Brown/Blonde/Red,5-3,No data
Bunny Brooks,38F-32-36,7/3/1987,,5-6,159
Bunny De La Cruz,,6/30/1984,,,
Bunny Freedom,32D-23-32,11/25/1991,,5-4,115
Bunny Knight,,,,,
Bunny Luv,35-24-34,9/12/1979,Blonde,5-4,107
Bunny Michelle,,,,5-4,
Busty Belle,,5/26/1966,,,
Busty Brown,,,,,
Busty Christy,32D-24-34,4/4/1987,,5-1,110
Busty Daisy,,,,,
Busty Dusty,90HH-24-34,10/20/1961,,5-9,132
Busty Kathi,,,,,
Busty Tina,34E-28-36,2/20/1965,,5-7,146
Butter,34D-24-36,8/3/1978,Brown,5-4,114
Buxom Bella,,,,,
Buxom Candy,38FF-33-42,,,5-9,172
Cadence Caliber,,,,,
Cadence Calibre,,,,,
Cadence Carter,,,,,
Cadence Lux,,4/23/1992,,,
Cadence Sweet,,,,,
Cadillac Pink,,,,,
Cailey Taylor,32DD-24-34,12/24/1981,Blonde,5-9,121
Caili Luv,,,,,
Cailyn Penn,,,,,
Cala Craves,,10/3/1964,,,
Cali Caramel,36C-25-36,6/21/1988,,5-1,121
Cali Carter,,2/23/1990,,,
Cali Cassidy,,,,,
Cali Chase,,,,,
Cali Couture,,,,,
Cali Cums,,,,,
Cali Dee,,,,,
Cali Foxx,34D-27-35,No data,No data,5-7,No data
Cali Hayes,,4/2/1991,,,
Cali Haze,,,,,
Cali Houston,38E-27-38,12/18/1963,,5-6,128
Cali Kayden,,,,,
Cali Lakai,,,,,
Cali Lee,32A-24-32,11/16/1989,,4-8,95
Cali Logan,,,,,
Cali Luv,,,,,
Cali Marie,No data,5/30/1985,Brown/Blonde,5-5,No data
Cali Nova,,,,,
Cali Rider,,,,,
Cali Sparks,,2/11/1996,,,
Cali Sunshine,36C-32-38,8/14/1978,,5-10,141
Cali Sweets,32A-24-34,11/9/1988,,5-4,99
Cali Taylor,,,,,
Cali Winters,,,,,
Cali Xavier,,,,,
Calisyn Heart,36DD-26-36,12/3/1986,,5-0,130
Calli Cox,34D-24-36,2/26/1977,Blonde,5-3,114
Callie Calypso,,12/4/1991,,,
Callie Cobra,,5/14/1991,,,
Callie Cyprus,,,,,
Callie Dee,,1/2/1988,,,
Callie Nicole,,,,,
Calliste Garnet,,,,,
Cambrey Sage,34C-26-38,3/2/1988,,5-7,141
Camelia Davis,38F-28-36,1/2/1981,,5-1,130
Cameran Cane,,,,,
Cameron Angel,,,,,
Cameron Bay,,,,,
Cameron Blaze,35B-26-40,,,5-10,126
Cameron Cain,36C-26-34,12/18/1980,Blonde,5-7,121
Cameron Caine,,12/18/1980,,,
Cameron Canada,,3/7/1989,,,
Cameron Carter,,,,,
Cameron Cruise,34C-24-35,8/26/1975,Black,5-6,110
Cameron Cruz,,8/26/1975,,,
Cameron D,,6/28/1990,,,
Cameron Ferrari,,,,,
Cameron Gold,,,,,
Cameron James,,1/27/1980,,,
Cameron Keyes,,,,,
Cameron Keys,,8/27/1973,,,
Cameron Leigh,36B,No data,Black,5-7,110
Cameron Love,,12/19/1989,,,
Cameron Luv,,,,,
Cameron Myst,,,,,
Cameron Skye,36J-34-42,5/17/1984,,5-5,174
Cameron Steel,,,,,
Cameron Styles,,,,,
Cameron Sweet,,,,,
Cameron V,,1/11/1977,,,
Cameryn Coxxx,36DD-24-34,2/7/1986,,5-2,135
Cami Cline,,,,,
Cami Cole,34D-26-34,,,5-4,110
Cami Miller,36D-24-36,,,5-0,119
Cami Smalls,,,,,
Camil Core,,8/24/1982,,5-2,128
Camil Gabanna,,,,,
Camilla Ken,37-24-36,4/9/1985,Black,5-7,121
Camilla Krabbe,,4/5/1981,,,
Camilla Rhodes,34D-26-36,11/26/1979,,5-2,130
Camille Morgan,36DDD-26-36,1/1/1983,,5-5,126
Cammie Fox,,,,5-6,130
Cammie Rhodes,,,,5-4,110
Cammille Austin,,,,,
